book_id,isbn,authors,original_publication_year,original_title,language_code,rating,ratings_count
2767052,439023483,Suzanne Collins,2008,The Hunger Games,eng,4.34,4780653
3,439554934,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,4602479
41865,316015849,Stephenie Meyer,2005,Twilight,en-US,3.57,3866839
2657,61120081,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671
4671,743273567,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664
11870085,525478817,John Green,2012,The Fault in Our Stars,eng,4.26,2346404
5907,618260307,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,2071616
5107,316769177,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241
960,1416524797,Dan Brown,2000,Angels & Demons ,en-CA,3.85,2001311
1885,679783261,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490
77203,1594480001,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,1813044
13335037,62024035,Veronica Roth,2011,Divergent,eng,4.24,1903563
5470,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,1956832
7613,452284244,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,1881700
48855,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,1972666
2429135,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,1808403
6148028,439023491,Suzanne Collins,2009,Catching Fire,eng,4.3,1831039
5,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,1832823
34,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,1766803
7260188,439023513,Suzanne Collins,2010,Mockingjay,eng,4.03,1719760
2,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,1735368
12232938,316166685,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173
15881,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,1779331
6,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,1753043
136251,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,eng,4.61,1746574
968,307277674,Dan Brown,2003,The Da Vinci Code,eng,3.79,1447148
