Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6,6958.0,317
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.8,5657.0,260
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5,1988.0,299
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5,11009.0,399
One Arranged Murder,Chetan Bhagat,4.2,3841.0,130
The Alchemist,Paulo Coelho,4.6,39236.0,193
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6,4364.0,511
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4,7085.0,375
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4,14990.0,384
Word Power Made Easy,Norman Lewis,4.4,15017.0,125
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6,9434.0,534
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5,5263.0,151
Grandma's Bag of Stories,Sudha Murty,4.6,2777.0,248
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6,32578.0,394
General Knowledge,Dr. Binay Karna,4.4,7324.0,198
The Psychology of Money,Morgan Housel,4.5,3017.0,367
The Theory of Everything,Stephen Hawking,4.6,3396.0,130
General Knowledge 2021,Manohar Pandey,4.3,1510.0,30
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7,24466.0,389
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.4,91.0,335
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8,3956.0,188
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5,3061.0,225
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5,2583.0,89
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6,1170.0,108
Fundamentals of Essay and Answer Writing,Anudeep Durishetty,4.8,11.0,404
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6,5049.0,192
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4,7443.0,204
Great Stories for Children,Ruskin Bond,4.5,2367.0,127
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6,1842.0,150
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4,1121.0,149
A Promised Land,Barack Obama,4.9,27654.0,1415
Think and Grow Rich,Napoleon Hill,4.5,34004.0,172
Objective General English,S.P. Bakshi,4.3,4775.0,185
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7,241.0,566
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4,2993.0,597
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6,2341.0,278
India’s Bravehearts : Untold Stories from the Indian Army,Lieutenant General Satish Dua,4.7,51.0,235
The Power of your Subconscious Mind,Joseph Murphy,4.5,22513.0,90
Eating in the Age of Dieting,Rujuta Diwekar,4.6,131.0,300
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),Robert T. Kiyosaki,4.6,3325.0,164
Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta,4.7,3004.0,229
Diary of a Wimpy Kid: The Deep End (Book 15),Jeff Kinney,4.7,12099.0,388
IB-ACIO: Grade-II/Executive (Tier-I) Recruitment Exam Guide: Grade-II/Executive (Tier-I) Exam Guide,RPH Editorial Board,3.8,56.0,344
Who Will Cry When You Die?,Robin Sharma,4.5,6208.0,149
The Richest Man in Babylon,George S. Clason,4.4,13827.0,99
The Blue Umbrella,Ruskin Bond,4.5,2672.0,73
General Knowledge 2021,Manohar Pandey,4.3,479.0,126
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7,18844.0,253
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5,76.0,125
1001 Activities Book,Dreamland Publications,4.5,2451.0,240
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7,2741.0,263
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5,3890.0,246
505 Activities for Kids,Dreamland Publications,4.5,1828.0,165
101 Panchatantra Stories,Dreamland Publications,4.3,2402.0,123
The Monk Who Sold His Ferrari,Robin Sharma,4.6,9433.0,174
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,5033.0,239
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5,5755.0,140
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,34405.0,295
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.4,319.0,419
Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo,4.5,2109.0,409
The Rudest Book Ever,Shwetabh Gangwar,4.5,2687.0,191
Oswaal CBSE Question Bank Class 10 Science (Reduced Syllabus) (For 2021 Exam),Oswaal Editorial Board,4.7,165.0,370
Fast Track Objective Arithmetic,Rajesh Verma,4.4,2285.0,302
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2,3351.0,250
My Activity- ABC Colouring Book,Dreamland Publications,4.5,571.0,72
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,3.9,481.0,481
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.6,46.0,165
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3,725.0,127
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5,1054.0,189
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6,1242.0,468
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4,1419.0,76
As a Man Thinketh,James Allen,4.4,7896.0,63
LUCENT'S GENERAL KNOWLEDGE WITH GENERAL KNOWLEDGE 2021 EDITION,LUCENT ARIHANT EXPERTS,3.7,58.0,108
"Love, Hope and Magic",Ashish Bagrecha,4.9,447.0,194
The Silent Patient: The Richard and Judy bookclub pick and Sunday Times Bestseller,Alex Michaelides,4.5,45755.0,280
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.3,731.0,169
My First Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.5,2275.0,829
The 12-Week Fitness Project,Rujuta Diwekar,4.4,1014.0,119
The Girl in Room 105,Chetan Bhagat,4.3,7784.0,158
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3,3058.0,400
Oswaal CBSE Sample Question Paper Class 10 Science Book (Reduced Syllabus for 2021 Exam),Oswaal Editorial Board,4.4,51.0,180
Masala Lab: The Science of Indian Cooking,Krish Ashok,4.4,20.0,359
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4,13821.0,460
"Lexicon for Ethics, Integrity & Aptitude for IAS General Studies - 6th Paper Edition 2020",Niraj Kumar,4.5,597.0,210
Bhagavad Gita Original in English - Bhagavad Gita as It is Original in English,A. C. Bhaktivedanta Swami Prabhupad,4.8,501.0,230
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4,1747.0,99
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.3,1597.0,439
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4,2650.0,283
Educart Most Recommended Combo | Maths (STANDARD) + Science + Social Science + English CBSE Sample Papers Books Of Class…,Educart,4.7,70.0,767
Legend of Suheldev: The King Who Saved India,Amish,4.3,2100.0,280
The Malayala Manorama English Yearbook 2021,Mammen Mathew,5.0,4.0,241
The Archer,Paulo Coelho,4.4,587.0,223
Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games),Gareth Moore,4.3,2961.0,200
"Zero to One: Notes on Start Ups, or How to Build the Future",Peter Thiel,4.4,6691.0,339
Think & Grow Rich,Napoleon Hill,4.3,1706.0,127
ट्वेल्थ फेल | Twelfth Fail | 12th Fail,Anurag Pathak,4.7,1903.0,155
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6,20748.0,334
