movie,year,imdb,metascore,votes,n_imdb
1-1Gladiator101,2000,8.50,67,1333569,85
Memento,2000,8.40,80,1119639,84
Snatch,2000,8.30,55,778180,83
Requiem for a Dream,2000,8.30,68,762588,83
X-Men,2000,7.40,64,568665,74
Cast Away,2000,7.80,73,520591,78
American Psycho,2000,7.60,64,486148,76
Unbreakable,2000,7.30,62,385476,73
Mission: Impossible II,2000,6.10,59,313389,61
Meet the Parents,2000,7.00,73,310019,70
"O Brother, Where Art Thou?",2000,7.70,69,284094,77
Gone in 60 Seconds,2000,6.50,35,259709,65
The Patriot,2000,7.20,63,253657,72
"Crouching Tiger, Hidden Dragon",2000,7.80,94,252073,78
Almost Famous,2000,7.90,90,251477,79
Scary Movie,2000,6.20,48,231427,62
Final Destination,2000,6.70,36,228815,67
Pitch Black,2000,7.10,49,224823,71
Amores Perros,2000,8.10,83,222665,81
The Power of test test test,2000,6.70,43,222104,67
Big test for this purpose,2050,6.60,49,221612,66
How the Grinch Stole Christmas,2000,6.20,46,213633,62
Remember the Titans,2000,7.80,48,197124,78
Traffic-moh.h12,20100,7.60,88,195135,99
What Women Want,2000,6.40,47,190962,64
Miss Congeniality,2000,6.30,43,186866,63
The Emperor's New Groove,2000,7.40,70,179217,74
Chocolat,2000,7.20,64,177201,72
Chicken Run,2000,7.00,88,176432,70
Charlie's Angels,2000,5.50,52,175729,55
Erin Brockovich,2000,7.30,73,173727,73
Battle Royale,2000,7.60,81,168470,76
High Fidelity,2000,7.50,79,167608,75
Road Trip,2000,6.40,55,157505,64
The Perfect Storm,2000,6.40,59,155744,64
"Dude, Where's My Car?",2000,5.50,30,134090,55
Billy Elliot,2000,7.70,74,126241,77
Scream 3,2000,5.60,56,123528,56
Hollow Man,2000,5.80,24,123305,58
In the Mood for Love,2000,8.10,85,123137,81
Shanghai Noon,2000,6.60,77,118804,66
What Lies Beneath,2000,6.60,51,117493,66
The 6th Day,2000,5.90,49,116236,59
Pay It Forward,2000,7.20,40,112461,72
The Whole Nine Yards,2000,6.70,47,109718,67
Men of Honor,2000,7.20,56,106722,72
Coyote Ugly,2000,5.70,27,106200,57
The Family Man,2000,6.80,42,103563,68
Dancer in the Dark,2000,8.00,61,101769,80
Gladiator,2000,8.50,67,1333569,85
Memento,2000,8.40,80,1119639,84
Snatch,2000,8.30,55,778180,83
Requiem for a Dream,2000,8.30,68,762588,83
X-Men,2000,7.40,64,568665,74
Cast Away,2000,7.80,73,520591,78
American Psycho,2000,7.60,64,486148,76
Unbreakable,2000,7.30,62,385476,73
Mission: Impossible II,2000,6.10,59,313389,61
Meet the Parents,2000,7.00,73,310019,70
"O Brother, Where Art Thou?",2000,7.70,69,284094,77
Gone in 60 Seconds,2000,6.50,35,259709,65
The Patriot,2000,7.20,63,253657,72
"Crouching Tiger, Hidden Dragon",2000,7.80,94,252073,78
Almost Famous,2000,7.90,90,251477,79
Scary Movie,2000,6.20,48,231427,62
Final Destination,2000,6.70,36,228815,67
Pitch Black,2000,7.10,49,224823,71
Amores Perros,2000,8.10,83,222665,81
The Beach2323,2000,6.70,43,222104,67
Me-Myself and Irene,2000,6.60,49,221612,66
How the Grinch Stole Christmas,2000,6.20,46,213633,62
Remember the Titans,2000,7.80,48,197124,78
Traffic,2000,7.60,86,195135,76
What Women Want,2000,6.40,47,190962,64
Miss Congeniality,2000,6.30,43,186866,63
The Emperor's New Groove,2000,7.40,70,179217,74
Chocolat,2000,7.20,64,177201,72
Chicken Run,2000,7.00,88,176432,70
Charlie's Angels,2000,5.50,52,175729,55
