Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2014,Jan,1,1,-2,-4,-7,-11,-15,59,49,38,1029,1027,1025,16,16,16,23,9,37,0,
2014,Jan,2,1,-3,-8,-5,-7,-10,84,70,56,1023,1015,1005,16,12,1,34,20,45,8.38,"Fog , Snow"
2014,Jan,3,-8,-10,-13,-11,-17,-22,84,63,42,1032,1018,1004,16,9,0,34,17,47,7.37,Snow
2014,Jan,4,-2,-7,-13,-9,-16,-21,66,51,35,1034,1030,1026,16,16,16,14,8,32,0,
2014,Jan,5,4,1,-3,3,-3,-8,92,75,58,1027,1023,1010,16,5,0,11,6,27,3.56,"Fog , Rain"
2014,Jan,6,13,3,-7,11,1,-16,100,72,43,1007,1001,996,16,7,1,29,14,47,9.14,"Fog , Rain"
2014,Jan,7,-7,-11,-16,-22,-24,-27,49,42,35,1029,1021,1008,16,16,16,37,21,61,0,
2014,Jan,8,-6,-9,-13,-17,-19,-22,55,47,39,1035,1032,1029,16,16,16,24,11,37,0,
2014,Jan,9,0,-3,-6,-10,-13,-17,57,45,33,1038,1036,1033,16,16,16,19,5,26,0,
2014,Jan,10,3,1,-1,1,-2,-9,92,71,49,1036,1030,1023,16,6,1,13,5,18,2.79,"Rain , Snow"
2014,Jan,11,14,9,3,13,9,1,93,89,85,1024,1008,993,16,7,1,27,11,45,12.7,"Fog , Rain"
2014,Jan,12,12,8,3,10,0,-4,83,64,45,1018,1006,996,16,15,3,32,13,50,1.27,Rain
2014,Jan,13,11,7,3,3,-1,-4,66,59,52,1021,1017,1012,16,16,11,23,8,39,0,
2014,Jan,14,11,9,7,7,5,2,93,75,56,1012,1008,1001,16,14,3,21,8,35,9.65,Rain
2014,Jan,15,7,4,1,4,3,1,93,85,66,1011,1011,1011,13,13,13,6,6,-,0,
2014,Jan,16,5,3,2,4,-1,-3,93,73,61,1015,1013,1011,16,16,16,8,8,-,T,
2014,Jan,17,7,4,0,-2,-5,-9,75,60,45,-,-,-,-,-,-,-,-,-,0,
2014,Jan,18,4,1,-2,1,-3,-8,100,70,56,-,-,-,-,-,-,-,-,-,2.54,
2014,Jan,19,2,-1,-4,-6,-9,-12,75,60,44,-,-,-,-,-,-,-,-,-,0,
2014,Jan,20,7,4,1,-2,-6,-8,64,52,40,-,-,-,-,-,-,-,-,-,0,
2014,Jan,21,1,-5,-11,-9,-12,-16,100,68,35,-,-,-,-,-,-,-,-,-,0,
2014,Jan,22,-8,-11,-14,-16,-19,-21,67,55,42,-,-,-,-,-,-,-,-,-,0.51,
2014,Jan,23,-7,-10,-13,-16,-18,-21,63,53,43,-,-,-,-,-,-,-,-,-,0,
2014,Jan,24,-7,-9,-12,-18,-20,-23,55,42,28,-,-,-,-,-,-,-,-,-,0,
2014,Jan,25,-2,-4,-7,-7,-12,-18,81,62,42,1003,999,997,16,10,0,27,12,48,1.02,Snow
2014,Jan,26,1,-3,-8,-7,-15,-19,74,55,36,1012,1009,999,16,16,11,26,14,42,T,
2014,Jan,27,7,1,-6,-4,-10,-21,63,44,24,1019,1008,1003,16,16,16,27,13,48,0,
2014,Jan,28,-6,-8,-11,-19,-22,-24,44,36,28,1029,1026,1019,16,16,16,24,10,39,0,
2014,Jan,29,-5,-7,-10,-13,-18,-22,80,54,28,1026,1022,1019,16,14,2,24,10,37,1.02,Snow
2014,Jan,30,-1,-5,-9,-12,-17,-19,51,42,33,1039,1028,1023,16,16,16,14,6,26,0,
2014,Jan,31,4,0,-4,-10,-12,-13,55,43,30,1024,1021,1019,16,16,16,23,8,34,0,
